text,url,manifestolabel_human
"Heute lenken uns aber ein hohlbirniger FDP-Wichtel, der kostenlose Tampons ablehnt und ein paar coole und nette alte Damen, die gerade live gegen Covid19 geimpft werden, ganz schön von unseren gewohnten Themen hier ab. Das tut auch mal ganz gut.",https://twitter.com/1211107796/status/1343525168921116673,social justice +
"Neue Folge unseres Podcasts - ""Der ganz formale Wahnsinn"" - diesmal zum Managementkonzept der Agilität. Über alle Podcast Player, über https://t.co/03BaGMQaRM  oder über https://t.co/JS0QKi7jnZ",https://twitter.com/817865035703840768/status/1343459379111198720,undefined
"@Panthea2019 @J_B_oo7 @Lufthansa_DE Die Lufthansa bezahlt keine Steuern - sie wird von unseren Steuern künstlich am Leben gehalten, obwohl deren Geschäftsmodell nachhaltig zerstört wurde. Aber Herr Spohr und seine Elite-Piloten können die nächsten 2 Jahre ohne einen Finger zu krümmen auf unsere Kosten chillen.",https://twitter.com/806564242145083394/status/1343488277005930497,free enterprise +
11 Jahre alt und ein ganzes Jahr völlig allein und auf sich gestellt in einem griechischen Abschreckungslager.,https://twitter.com/47379937/status/1341871434516324354,freedom/human rights +
Nur mal aus Interesse: wir können (angeblich) unsere Außengrenzen nicht kontrollieren. Aber eine Ausgangssperre im ganzen Land wäre kein Problem?,https://twitter.com/282771328/status/1341706886526214144,law and order +
"#kmk @KM_BW 
Bedenkt, dass auch viele systemrelevante Kräfte ausfallen werden, wenn ihr Kitas und Grundschulen nicht schützt.",https://twitter.com/959797764879212545/status/1341700523691548679,welfare +
Hahzuauxuauxhwjduwhdusuhfpudlhdlhskgskgsgkzgkzkgzgkzkgzgkzkgzhldlgxlhxgodoydgkdyodgksyosyosigsgisgkskgsigsigskgdogdogsohsohxxlhxlhzlhshlsyststagssgzzhxjgkhlhpjpupyirywtsgxjvlglhorjdj,https://twitter.com/2459687911/status/1341812819554148358,undefined
"Kann mir beim besten Willen nicht vorstellen, dass das normale Volk einen dieser ""Schauspieler"", wenn es um Kompetenz, Leistung, Wählerauftrag und Volkswohl geht, auch nur annähernd für GUT befindet.
Meine persönliche Beurteilung: 
""Hartz IV ist für diese Leistung zu hoch"" https://t.co/lzsmv4MCek",https://twitter.com/4640801721/status/1341775975797972992,political authority +
"Die USA haben Trump. Wir haben je 16 MP und KM, die maßgeblich für diese traurige und dramatische Entwicklung verantwortlich sind. Rücktritt all dieser Leute sofort!",https://twitter.com/1248593108952133633/status/1341764697738129408,welfare +
"Vertreter italienischer Corona-Opfer werfen dem Staat vor, in der Pandemie nicht schnell genug gehandelt zu haben. Sie verlangen von Regierung und Behörden 200.000 Euro pro Verstorbenem. https://t.co/jPnj5IrfSJ https://t.co/H9SmMJJFhW",https://twitter.com/2834511/status/1341767283522166784,welfare +
"Trotz SEC-Klage macht Ripple weiter Fortschritte und wächst.

Kürzlich suchte Ripple einen ""Senior Director"" für die Zusammenarbeit mit Zentralbanken.

Jetzt stellt Ripple einen ""Technical Partner Manager"" für die Zusammenarbeit mit Zentralbanken für die CBDC-Einführung ein.",https://twitter.com/1070236072737730560/status/1343121526309183488,undefined
"Völlig unterwandert: Chinesische Spione bei VW, Airbus, Deutsche Bank und Siemens

Tausende Mitarbeiter von Volkswagen, mindestens zwei leitende Manager der Deutschen Bank sowie Mitarbeiter von Airbus und Siemens Mitglieder der CCP.

https://t.co/YPDPPQUkl6",https://twitter.com/1242842716196741122/status/1343140994330595329,undefined
"Auf der Intensivstation gibt es keine „Querdenker“ mehr.

Auf der Intensivstation ist es doch keine ""harmlose Grippe"" mehr.

Und wenn die Pflegekraft oder der Arzt Migrationshintergrund haben, gibt es auch keine Angst mehr vor ""Umvolkung"" oder ""Überfremdung"" des Abendlandes.",https://twitter.com/612900411/status/1343141837633105922,welfare +
"Als wäre 2020 nicht schlimm genug, lässt die Bundesregierung jetzt auch Silvester ausfallen so dass nächstes Jahr auch noch 2020 ist",https://twitter.com/3390837417/status/1338285353640349702,undefined
Es sind keine Komiker! Ganz bewusst und ganz geplant wird die Wirtschaft zerstört.,https://twitter.com/838448758820122624/status/1338164973571289092,economic goals
Weiters bzgl der gewaltsamen Aufstände in Malmö wegen Blasphemie:,https://twitter.com/1270491069495508992/status/1332879320277262338,undefined
Mittels türkischer Scheinunternehmen (u.a. ein kleiner Mobilfunkladen in Sanliurfa) kaufte der Islamische Staat auch bei einem deutschen Dronen-Zulieferer Komponenten für sein Programm zur Herstellung improvisierter Waffen,https://twitter.com/3911227817/status/1336307413490819073,military -
"Stimmt Deutschland könnte das Sorgenkind von Europa werden 🤔

Einfacher Grund:

Es sind die falschen Leute am falschen Platz, denn sie wissen nicht was sie tun 🤬

Alles was der Mittelstand über Jahre aufgebaut hat, hat die Politik in kürzester Zeit zerstört 🤬

Geht nach Hause",https://twitter.com/1109117346227146752/status/1338154807371182082,economic goals
"#EU macht sich nur unglaubwürdig, wenn sie einerseits die Verbrechen der Mullahs im #Iran verurteilt und gleichzeitig die blutigen Hände deren Vertreter schüttelt! #NoImpunity4Mullahs https://t.co/fdr6xTGEG6",https://twitter.com/3504776177/status/1338174289468665856,freedom/human rights +
"/3 Entscheidend für die Außerkraftsetzung der Regelung, ist ein Verstoß gegen den allg. Gleichheitssatz aus Art. 3 I GG (S. 16 ff.).",https://twitter.com/1112187088907264000/status/1475847788101607427,freedom/human rights +
"@Gert_Woellmann @SDullien Richtig! Und wenn man genau hinsieht, erkennt man dahinter den neu aufkommenden Kollektivismus. Erlaubt und gut ist nur noch das, was die ""große Mehrheit"" nicht stört. Kann beliebig auf andere Felder übertragen werden.",https://twitter.com/1397226983348572162/status/1476187788357910535,freedom/human rights +
Hier als staatlich finanzierte Institutionen nur auf Gefährdungen  des Art. 5 I und III GG zu verweisen (in der Tat ein Problem) wird vor dem Hintergrund der dt. Geschichte der gesellschaftlichen Verantwortung der Institutionen nicht gerecht.,https://twitter.com/1248564856703369217/status/1337372695063916546,foreign special +
@GermanyMister Der Handel muss auf die Straße gehen ... Berlin blockieren 👊,https://twitter.com/1271805702294646784/status/1338212233529208837,undefined
"Dieser @BMWi_Bund-Tweet mutet seltsam an nach der Erkenntnis, dass das neue #EEG eine (weitere) Milliardenamnestie für die Großindustrie bei der EEG-Umlage vorsieht: https://t.co/0ssGw3f54z

""Kosten werden solidarisch verteilt."" 😳 

#Paradoxon https://t.co/laQJNGahr5",https://twitter.com/631175576/status/1339501297289064448,social justice +
#LTKaernten 35. Sitzung des Kärntner Landtages „Kärntens Gemeinden sicher durch die Krise führen“ lautete das Thema der Aktuellen Stunde. #Zukunft #Kärnten Zur PA: https://t.co/IUMTrpFpkZ,https://twitter.com/1364554466/status/1339549025121562625,undefined
"#Karl-Theodor zu Guttenberg lobbyierte für #Wirecard und steht heute vor dem Wirecard- #Untersuchungsausschuss.

Über den »Wirecard-GAU« und das »Totalversagen der deutschen Finanzaufsicht« schrieb der Rechtsanwalt und Bankenexperte Wieslaw Jurczenko in:

https://t.co/1u30ss3QWP https://t.co/oh1uXWrWng",https://twitter.com/19617886/status/1339492790049370112,market regulation +
„ hausinternes Geschrei” #fidk und #kinderbrauchenkinder 😂😂😂 endlich mal die Wahrheit gesagt ! https://t.co/zAMX8WPXE8,https://twitter.com/2679106656/status/1339208865603342339,freedom/human rights +
"@CDU Schäm Dich CDU..hauptsache die Königin reist mit Scheckbuch durch Länder die uns verachten, pumpt Geld in ""Klimarettung"", nimmt Mio Fundamentalisten auf u verteilt hart verdiente Steuergelder wie Konfetti..ums eigene Volk, eigene Baustellen sorgt sich keiner mehr!",https://twitter.com/1107243005763829760/status/1343663426762104837,national way of life +
Deutlich besser als eine erpressende US-LNG-Abhängigkeit!  https://t.co/bLwKTiFE8c,https://twitter.com/68195206/status/1343835306437582850,free enterprise +
"Viel Anerkennung für die Arbeit von Stefanie #Hubig in der Krise. Bildungsminister Alexander Lorz (@cduhessen) meint: ""KMK-Präsidentin Stefanie #Hubig hat die Länder ganz exzellent durch das vermutlich anspruchsvollste Jahr seit Gründung der Kultusministerkonferenz gelotst.""🙏👍",https://twitter.com/24155607/status/1343513533791801344,political authority +
"Der Staat wieder absurd wie eh und je: erst mal das Angebot des Stroms verknappen, dann zusätzlich verlangen, dass irgendwann 40 Mio eAutos als zusätzliche Verbraucher unterwegs sind. Voila: das individuelle eMobilität wird zum Luxus.",https://twitter.com/819534646518181889/status/1343821753529860097,social justice +
"Was verbindet d.#Schweiz mit dem #Vatikan? Wieso wurde d.Eidgenossenschaft z.globalen #SafeHaven, speziell f.#Finanz-Institutionen? Wer betrieb d.Annäherung z.#EU d. #InterNationalSozialisten? Welche Rolle i.d.gelenkten #Immigration? Wo wurde d.#GreatReset &amp; #Tsion geboren?

#C4Q https://t.co/lzdCFnJC4g",https://twitter.com/2232463302/status/1343813638382084096,undefined
"Immer wieder ""schön"", wie Nationalräte die 🇨🇭-Verhandlungsposition untergraben... 🤮",https://twitter.com/1425976159/status/1343334267846340611,national way of life +
"was daran ja spannend ist: GB und Südafrika haben ""an efficient covid-19 genome-sequencing programme"" - im gegensatz zu österreich und dem rest der EU. deswegen haben die alarm geschlagen, nicht weil das von dort kommt https://t.co/EGe4bedzAy",https://twitter.com/112435003/status/1343662248598917121,welfare +
"Warum wundert mich nicht, dass @polenz_r zu denjenigen gehört, die kritisieren, dass andere es wagen, die Regierung zu kritisieren? Ps. Es geht nicht um „wegkaufen“, sondern um EU-weit zu wenig Bestellungen bei Biontech, u.a. im Vergleich zu den USA und anderen Ländern.",https://twitter.com/323968570/status/1343570362563514370,welfare +
EUAHUEHAUEHAUEHAUEHAUHEAUHEAUHEAUHEUAHEUAHEAUHEAUHEUAHEAUHEAUHEAUHEAUEHAUEHAUEHAUEHAUEHAUHEAUHEAUEHAUEHAUHEAUEHAUEHAUEHAUEHAUEHAUEHAUEHAUEHAUEHAUEHAUEAHUEAHUEAHUEAHAEU,https://twitter.com/1231999521728667648/status/1343634976982630407,undefined
"@ZDFheute Die nächste MwSt-Erhöhung auf 25% ist schon für 1.1.22 eingeplant. Nach der BTW2021..

Die Subventionen für die Konzerne müssen schließlich bezahlt werden. Die Reichen tun das natürlich nicht, die haben ihre Steuerparadiese..",https://twitter.com/977837916692058112/status/1342785109737541632,social justice +
"@Pietbull47 Erschreckend, wie tief die akademische Community gesunken ist, wie schlimm die ideologisiert sind! Wie tief der Hass sitzt! 
„Spalter ist, wer nicht mitmacht“
Das wird der Wissenschaft u dem Land böse auf die Füße fallen.",https://twitter.com/735728729536618496/status/1342784525957476352,freedom/human rights +
"Ägypten war wie Judäa nämlich eine Provinz des gleichen Staates: Rom. Sie Flohen nicht nach Germanien oder Dänemark, sondern ins direkt benachbarte Gebiet und erhielten dort weder Sozialleistungen noch ein Heer von Sozialbetreuern.",https://twitter.com/890215494577475584/status/1342549910646874112,national way of life +
"Friedlicher als bei uns in #Kreuzberg, war das Weihnachtsfest u.a. in Damaskus. https://t.co/ApjTcZEW8q",https://twitter.com/776410437554282496/status/1342776716008288256,law and order +
"Es ist mir unbegreiflich, wie man das mathematisch so Naheliegende nicht erkennt. Wir haben ca. 45 Millionen Arbeitnehmer und ca. 8 Millionen Schüler. Die meisten von ihnen bewegen sich jeden Tag und haben die meisten Kontakte i.d. Institutionen Schule+Arbeit. 8/15",https://twitter.com/19744088/status/1337413756817641472,welfare +
"@luebberding @ChanasitJonas Man wird auf Dauer keine Akzeptanz erreichen, wenn bei einer Clan-Beerdigung wie kürzlich in Bremen bei 700 Gästen drei Augen zugedrückt werden und jemand, der einer gebrechlichen Seniorin über die Straße hilft wegen Verletzung der Abstandsregeln ein Bußgeld zahlen muss.",https://twitter.com/933974122517925888/status/1337328417080041474,democracy +
"`dass wir ein Nullsummenspiel in der 
Gesellschaft konstruiert haben, daher die 
Konten sich insgesamt über die ganze 
Nationalökonomie immer ausgleichen 
müssen,  heißt, das dass, was einige im Plus 
gewinnen, muss der gesamte Rest der ...`
9/n",https://twitter.com/68112791/status/1218136194871152641,undefined
"Dass sogar ein Polit-Insider wie @NateSilver538 darüber nachdenkt, wie eine Sezession (eine Aufspaltung der Vereinigten Staaten) aussehen könnte, ist erschreckend. 

Szenario Blue Secession: eine Abspaltung der demokratisch regierten Staaten nach einem Staatsstreich durch Trump. https://t.co/mJ8rrfYiY2",https://twitter.com/1052667697832574978/status/1337388641895804928,democracy +
"Vor allem, da die Maßnahmen sehr erfolgreich sind. Jedenfalls beim ruinieren des Landes. https://t.co/jD8aUng8p0",https://twitter.com/1034841714786267136/status/1337376053950640129,free enterprise +
"@WaltiSiegrist @SwissScience_TF Man kann den Corona-Schwindel derart simpel erklären, dass ihn jeder versteht, ausser der Mitglieder der @SwissScience_TF.
Die Treiber des Corona-Schwindels sind in jedem Land die Technokraten-Task-Furzer, die via Medien die Regierungen unter Druck setzen.
https://t.co/1BRbJUC1tw",https://twitter.com/144580542/status/1336961975994228736,freedom/human rights +
"Ja, Neuseeland etwa hat das Virus nämlich einfach weggezaubert. Ähnlich in China. https://t.co/VRBWvPcJWW",https://twitter.com/52184587/status/1337293759701274626,welfare +
"Und es geht immer weiter, #hereinspaziert auf allen Ebenen.

#Dresden #Sachsen #PEGIDA 

https://t.co/hFHVMva5ep",https://twitter.com/1260602316362780673/status/1337371151195140097,undefined
"Auch dieses Jahr gibt es den Weihnachtsfilm von #Telekom CEO Tim #Höttges als Dankeschön an alle Mitarbeitenden, die unter schweren Bedingungen in 2020 so viel geleistet haben. 👏 Auch dabei: Unser neuer Telekom Deutschland Chef Srini #Gopalan mit einem Cameo-Auftritt. 😀 https://t.co/Q1WHDreYG7",https://twitter.com/92224801/status/1337351169564266496,labour +
"Kürzlich erschienen: ""Aus erster Hand. Gehörlose, Gebärdensprache und Gehörlosenpädagogik in der Schweiz im 19. und 20. Jahrhundert"". Das Buch ist Produkt eines Forschungsprojekts am Departement Geschichte https://t.co/W1ISsNJFLS",https://twitter.com/1313103293795708928/status/1336958846959489025,undefined
"Hehe...
Schon gut dass die WHO einfach frei entscheiden kann was sie wie verändert. Herdenimmunität existiert nun nicht mehr durch Kontakt mit einem Erreger, die gibts jetzt nur noch durch Impfung. Ein Zusammenhang mit den Spendengeldern der Pharmaindustrie an die WHO ist Zufall. https://t.co/gVSiqqbeLE",https://twitter.com/1256691912/status/1341325493807792129,political corruption -
"Dann hoffen wir, dass das breit genug wird und auch ""protected"" das richtige Wort ist.",https://twitter.com/795921736336281600/status/1341442911246888966,infrastructure +
Kommissions Queen Von der Leyen von der sterilen EU assimiliert mit unendlichem gedruckten Zentralbanksgeld gefährliche Coronaimpfstoffe von der Pharmalobby. Widerstand ist zwecklos! Der industriell-pharmazeutische Komplex bringt große Risiken. Arzneimittelschäden einkalkuliert! https://t.co/K7tQBIcnNc,https://twitter.com/1179755759095226368/status/1341125762997432320,political corruption -
"""»Wir müssen davon ausgehen, dass #Seehofer die Regelverstöße der griechischen Küstenwache deckt, weil sie ihm politisch in den Kram passen. Alles daran wäre inakzeptabel.« (...) Für #Leggeri ist die Angelegenheit besonders misslich, weil sich in 1/3

https://t.co/9MmrVRu7AI",https://twitter.com/1131808393973444611/status/1341392297393606660,freedom/human rights +
Läuft das hier dann auch unter „Imperialismus!1!!1“? https://t.co/43yePFzX94,https://twitter.com/1141516563251695619/status/1341298459203256323,internationalism +
"Wenn durch Brexit und aktuell Corona für Britannien nichts mehr geht, bzw. nichts mehr an Waren rein kommt, geht plötzlich doch etwas. Erstaunlich. https://t.co/W9oJb4FuNo",https://twitter.com/554858856/status/1341359770192777216,undefined
Niederlande lassen wegen neuer Corona-Variante auch keine Fährpassagiere aus Großbritannien mehr an Land. LKW-Fahrer sind von der Regelung ausgenommen.,https://twitter.com/19228733/status/1340915499262205953,welfare +
"Für Migrantifa NRW ist heute ein besonderer Tag zum Feiern!
🕊
Die Mutter unserer kurdischen Schwester und Genossin wurde heute aus der U-Haft des Frauenknast in Amed entlassen! 
Wir bitten euch alle darum für den weiteren Prozessverlauf die Daumen zu drücken, zu beten, im Herzen",https://twitter.com/1238562459583201280/status/1339640833847472129,freedom/human rights +
"Ein Zeitungsinterview („Welt am Sonntag”) des ungarischen Ministerpräsidenten Viktor Orbán ist zu einer Generalabrechnung mit EU-Institutionenen, der Europäischen Volkspartei und deren Vorsitzenden Manfred Weber (CSU) greraten. https://t.co/sYiG8mdN1x",https://twitter.com/266664975/status/1340762949875609603,europe -
"Jetzt dauert die Pandemie schon fast ein Jahr, und es gibt noch immer keinen Corona-#Tatort. U-Bahnfahrten ohne Maske, Bürogedränge usw. - alles quasi prähistorisch.",https://twitter.com/916349666/status/1340745218971361286,undefined
"Leute die rumpöbeln, weil Asylbewerberheime zu Prioritätsgruppe gehören sind entweder a) schlicht dumm oder b) böswillig oder c) beides.",https://twitter.com/841720804203212800/status/1340711166180536323,freedom/human rights +
"""Scheiße, #Corona nervt gewaltig. Lass mal lieber schauen, was der #SPD Reiseservice macht"" #FDP-Minister.",https://twitter.com/1371005676/status/1338810617608744960,political authority +
"@Panthea2019 Wenn Politik nicht weiß, was sie tun soll, dann tut sie es umso energischer.  Wozu dienen nächtliche Ausgangssperren und Alkoholverbote? Es sind Schikanen, die Tatentschluß vortäuschen, wo Ratlosigkeit herrscht. Symbolpolitik. Ein Lockdown bis März wäre das Ende der Gesellschaft.",https://twitter.com/1224062559021674497/status/1338958541818880002,freedom/human rights +
"‼️Er soll bis z 10.Jan gehen,doch das ist nicht sicher. Es droht ein Schrecken o Ende,denn er kann endlos verlängert werden.Der Einzelhandel in🇩🇪steht v seiner schwierigsten Zeit seit dem 2.Weltkrieg.Armut,Depression u Verzweiflung machen sich breit
 https://t.co/zBMFdM4wMx",https://twitter.com/1131226011692077058/status/1338532483223130115,free enterprise +
"Der wochenlange Machtkampf in Wolfsburg ist beendet, VW-Boss Herbert Diess erhält weitreichende Zugeständnisse. Doch der Kompromiss könnte sich für ihn noch rächen. https://t.co/DzTIhKLMPJ https://t.co/xdzqrkFYGr",https://twitter.com/2834511/status/1338888186177540096,undefined
#Ungarn: Orbán-Regierung hat Verfassung geändert: Das bei der Geburt festgelegte Geschlecht darf behördlich nicht mehr geändert werden. Ein Erik Schinegger wäre im Orbán-Land nicht möglich. Armes Ungarn,https://twitter.com/1966383174/status/1338848977236742145,social justice +
"Jetzt müsste diesen Leuten nur noch jemand sagen, dass der Rundfunk nicht vom Bund geregelt wird. 🤷‍♂️ https://t.co/hXLjLDCk8B",https://twitter.com/20442337/status/1338825756466688000,decentralism +
"#Bürgerenergiegemeinschaften sind ideal, um Bürger*innen an #Energiewende aktiv teilhaben zu lassen. Erfahre, wie BEG im lokalen #Ökosystem sich ideal weiterentwickeln kann. Wissen über Potentiale u. Hürden, wirkt sich entscheidend auf Projekterfolg aus. : https://t.co/lx3Akf74Ck https://t.co/pLfaeKiADb",https://twitter.com/1245034356239994882/status/1335116775760027650,anti-growth economy +
"Da das Volk der Souverän des deutschen Staates ist ...

... wird beschlossen, dass alle Diäten bis zum Ende der Pandemie, min. Ende 2022, einbehalten werden.

Begründung:

Trotz Lockdown - November-Hilfen werden frühestens im Januar gezahlt https://t.co/zHTflP6O6O",https://twitter.com/1109117346227146752/status/1335149350473900032,gov-admin efficiency +
"Großstädter fahren mit dem Auto zu uns in die Provinz, bewerfen unser Freunde, Nachbarn und Familienmitglieder mit Kot und Steinen, zünden Feuer und Pyrotechnik MITTEN IM WALD und behindern den Ausbau einer Straße, die für einen besseren Verkehrsfluss gebaut wird. Im Namen der",https://twitter.com/978587896268673025/status/1334857084794494977,undefined
"Mehr Personal für unseren Forst: Damit unsere Thüringer Wälder weiter so schön bleiben! Werden auch Sie jetzt Waldbeschützer und unterstützen Sie uns beim Schutz unserer Wälder: https://t.co/H6eNygoPyI
#thüringen #politik #bürger #umwelt #thüringerwald",https://twitter.com/96142129/status/1335124268598833153,environmentalism +
"@JoergSchindler @cdulsa Was viele nicht wissen: Es geht gar nicht um 86 Cent, sondern um 400 Millionen €. Zusätzlich zu den fast 9 Milliarden, die bisher schon p.a. verbrannt werden. Alles in allem also irgendwas zwischen 18 und 19 Milliarden Mark. Jährlich.",https://twitter.com/970421608362934272/status/1334885617814134786,gov-admin efficiency +
Das sind umgerechnet etwa halb so viele Tote wie sie @sebastiankurz verantwortet.,https://twitter.com/19470289/status/1336647318901305345,welfare +
"Herr @HeikoMaas 
Wenn #Deutschland die Waffenlieferungen (auch über Umwege) an die #Türkei einstellt, dann können Sie das Lied von Liebe und Frieden nochmal singen.
@AuswaertigesAmt 
@DAAD_Germany https://t.co/Zru40PGQr2",https://twitter.com/501562244/status/1336632758702059528,military -
"Berlin erlaubt Panzerverkauf an Qatar. Im Konflikt zwischen den arabischen Golfstaaten rüstet Deutschland beide Seiten auf:
https://t.co/DJnODDSVLL",https://twitter.com/2159510617/status/1336427839894286336,military -
"Man hätte auch die Flüge aus China, dem Iran und Italien einschränken sollen, als die Zahlen dort so hoch waren. Auf die Idee ist außer der AfD nur leider keiner gekommen. Diesen Fehler müssen wir jetzt ausbaden. #Lockdown https://t.co/8vrKnO55cD",https://twitter.com/1281736895626715136/status/1340748487219159040,welfare +
"Solche Nachrichten wird es in den USA wohl in nächster Zeit öfter geben: 300 schwerbewaffnete Rechtsradikale versuchen, Regierungsgebäude in Oregon zu besetzen.",https://twitter.com/3360918225/status/1341080707553214464,democracy +
"Die Herren von der #CDU haben demnach mit großem Interesse den Krieg in #Bergkarabach beobachtet. Allerdings nur mit Blick auf mögliche Waffendeals, nicht etwa mit Mitgefühl für die dort abgeschlachteten #Armenier? Das wäre an Zynismus und Gleichgültigkeit kaum zu überbieten.",https://twitter.com/1256600276032720903/status/1340994411526844417,military -
Zwangsarbeit in Xinjiang: So beutet China die Uiguren aus https://t.co/hBJA17RKRh via @derspiegel  Und Deutschland sowie die EU belohnen das mit einem EU-CHINA - Investitionsabkommen!! Unvorstellbar!!!,https://twitter.com/1151251668098584576/status/1340759264026103813,freedom/human rights +
"#SwissCovidFail

1/n

An der Medienkonferenz vom 18.12.2020 betonte Ignazio Cassis die Wichtigkeit eines guten Images für den Wirtschaftsstandort Schweiz, und wie man dieses zu Verbessern versucht.

Ein Video-Thread dazu:",https://twitter.com/1231686353974419457/status/1341074177462300672,welfare +
"Wie lässt sich die Niederlage von @realDonaldTrump noch verhindern? Durch Ausrufen des Kriegsrechts, schlägt der begnadigte @GenFlynn vor. So erhält man sich Trumps Gunst. Dem bleibt nur Rache, meint Gerhard Spörl in seiner Kolumne bei t-online.

https://t.co/FJVKhDOzZ9",https://twitter.com/266517562/status/1340971902978977793,democracy +
"Neokoloniale, kapitalistische Welt in a nutshell. 🤡
Krisen solidarisch zu lösen heißt: #SystemChange dekolonial, anti-kapitalistisch und intersektional! https://t.co/ZTJomsMyWQ",https://twitter.com/3232960847/status/1339836683194421248,marxist analysis +
FRAUEN MÜSSEN SICH IMMERNOCH NICHT ANSTÄNDIGER ANZIEHEN IHR MÜSST EUCH EINFACH ANSTÄNDIGER BENEHMEN IHR HS,https://twitter.com/1325871471630147586/status/1340750813489184770,social justice +
Wer nannte es Textilworkshop und nicht Näherholungsgebiet,https://twitter.com/514964596/status/1341023134716194816,undefined
"Ich wünsche allen die im Einzelhandel arbeiten viel Kraft und Geduld für die nächsten Tage. 

💖",https://twitter.com/2716900515/status/1340982324754825216,undefined
"werden, muss das für alle Glaubensgemeinschaften gelten.
Wenn wir Juden und Muslimen erlauben, aus religiösen Gründen Tieren vermeidbares Leiden zuzufügen, müsse(te)n wir auch erlauben, dass Hindus Juden, Muslime und Christen töten, weil diese ""Heilige Kühe"" schlachten.",https://twitter.com/1207419052521664524/status/1341016498224181248,environmentalism +
LOSERLOSERLOSERLOSERLOSERFASCISTLOSERLOSERLOSERLOSERLOSERLOSERLOSERLOSERLOSERDOUCHEBAGLOSERLOSERLOSERLOSERLOSERLOSERLOSERLOSERDISGRACELOSERLOSERLOSERLOSERLOSERLOSERCONMANLOSERLOSERLOSERPSYCHOPATHLOSERLOSERLOSERLOSERLOSERRACISTLOSERLOSERLOSERLOSERLOSERLOSERMANIPULATORLOSERLOSER,https://twitter.com/92597709/status/1333558258985017347,political authority +
Jetzt kommen wir der Wahrheit langsam näher: Auch die #SharingEconomy muss sich rechnen. Tut sie noch lange nicht. Und schon gar nicht für VW.,https://twitter.com/921105041125249024/status/1333468110867865603,productivity +
"Wir teilen die Sorge der @Junge_Union vom #Deutschlandtag am Wochenende: Wie soll die nächste Generation die enormen Kosten der #Corona-Pandemie tragen? Was es jetzt braucht, sind langfristige Konzepte statt politische Schnellschüsse: https://t.co/GgafM4cGnB https://t.co/3V7cDm9FBg",https://twitter.com/71546211/status/1333718565153857536,economic orthodoxy +
